number,slack,Negotiation lead time,Contract lead time,high Initial cost,low Initial cost,high data storage,low data storage,high Medical interview sales potential,low Medical interview sales potential,high Booking Sales Potential,low Booking Sales Potential,high MRR,low MRR,city
48.0,4.0,28.0,12.0,"6,228,000",,"520,000",,"326,700",,"116,700",,"963,400",0,kyushu
39.0,1.0,13.0,,0,,"440,000",,"84,000",,"30,000",,"554,000",0,toukai
33.0,3.0,,,"10,000,000",,"900,000",,"700,000",,"500,000",,"2,100,000",0,kyushu
18.0,6.0,5.0,2.0,0,,"292,000",,"56,000",,"20,000",,"368,000",0,toukai
34.0,3.0,38.0,5.0,,,"1,500,000",,"1,166,700",,"833,300",,"3,500,000",0,toukai
28.0,5.0,38.0,4.0,"17,150,000",0,"342,000","650,000","37,300","28,000","13,300","42,000","392,600","720,000",kantou
29.0,3.0,19.0,5.0,"10,980,000",0,"276,800","183,600","51,200","51,200","64,000","64,000","392,000","298,800",kantou
110.0,5.0,26.0,,"73,530,000",,"1,740,000",,"1,166,700",,"833,300",,"3,740,000",0,cyugoku
19.0,5.0,22.0,3.0,0,,"390,000",,"1,400,000",,"1,000,000",,"2,790,000",0,kyushu
47.0,7.0,9.0,10.0,"850,000",,,,"2,333,300",,"1,666,700",,"4,000,000",0,kyushu
114.0,5.0,226.0,,,,,,0,,0,,0,0,toukai
20.0,2.0,8.0,7.0,0,,0,,"100,000",,"250,000",,"350,000",0,hokkaido
21.0,4.0,261.0,7.0,"20,300,000",,"261,600",,"113,300",,"500,000",,"874,900",0,toukai
22.0,4.0,15.0,,"864,000",,,,"186,700",,"66,700",,"253,400",0,kantou
16.0,5.0,31.0,6.0,"7,600,000",,"145,240",,"30,200",,"112,500",,"287,940",0,kantou
40.0,4.0,330.0,,,,"350,000",,"256,700",,"91,700",,"698,400",0,cyugoku
35.0,2.0,,8.0,"29,575,000",0,"580,000","1,100,000","320,000","320,000","3,333,000","333,300","4,233,000","1,753,300",hokkaido
41.0,5.0,185.0,9.0,"5,000,000",,"120,000",,"93,300",,"33,300",,"246,600",0,toukai
38.0,5.0,291.0,,21200000,,"460,000",,"400,000",,"166,700",,"1,026,700",0,kansai
25.0,8.0,36.0,6.0,"12,600,000",,"214,000",,"88,700",,"31,700",,"334,400",0,kantou
26.0,5.0,17.0,4.0,"1,475,000",,"180,000",,"466,700",,"333,300",,"980,000",0,kantou
43.0,5.0,15.0,9.0,"9,500,000","1,935,000","600,000",0,"466,700","733,300","333,300",,"1,400,000","733,300",kantou
134.0,1.0,314.0,,,,,,0,,0,,0,0,toukai
135.0,1.0,313.0,,,,,,0,,0,,0,0,toukai
136.0,1.0,33.0,,,,,,0,,0,,0,0,hokuriku
137.0,2.0,235.0,,,,,,0,,0,,0,0,toukai
138.0,2.0,68.0,,,,,,0,,0,,0,0,kantou
139.0,1.0,579.0,,,,,,0,,0,,0,0,kantou
140.0,1.0,35.0,,,,,,0,,0,,0,0,kantou
141.0,2.0,39.0,,,,,,0,,0,,0,0,kyushu
142.0,4.0,385.0,,,,,,0,,0,,0,0,kantou
143.0,2.0,577.0,,,,,,0,,0,,0,0,touhoku
144.0,1.0,459.0,,,,,,0,,0,,0,0,kantou
